cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202606289/1/1258-Caribou-Island-Road-Caribou-Island,65023442,202523118,1,2025-09-11,,2026-01-01,112,550000,,1
https://www.viewpoint.ca/cutsheet/202606289/1/1258-Caribou-Island-Road-Caribou-Island,65023442,202507976,1,2025-04-16,,2025-09-01,138,574900,,1
https://www.viewpoint.ca/cutsheet/202606289/1/1258-Caribou-Island-Road-Caribou-Island,65023442,202413244,1,2024-06-10,,2024-11-09,152,599900,,1
https://www.viewpoint.ca/cutsheet/202603278/1/123-Chance-Harbour-Road-Hillside,00869461,202603278,1,2026-02-24,,2026-02-24,43,499900,,5
https://www.viewpoint.ca/cutsheet/202603278/1/123-Chance-Harbour-Road-Hillside,00869461,202520210,1,2025-08-11,,2025-10-23,73,499900,,1
https://www.viewpoint.ca/cutsheet/202603278/1/123-Chance-Harbour-Road-Hillside,00869461,201911240,1,2019-05-19,2019-06-20,2019-06-25,32,174500,174500,2
https://www.viewpoint.ca/cutsheet/202605641/1/6-Chestnut-Street-Trenton,00929901,202605641,1,2026-03-27,,2026-03-27,12,249950,,5
https://www.viewpoint.ca/cutsheet/202529299/1/2070-Church-Street-Westville,01035005,202529299,1,2025-12-10,,2026-05-29,119,329900,,5
https://www.viewpoint.ca/cutsheet/202529299/1/2070-Church-Street-Westville,01035005,202316610,3,2023-08-08,2023-08-31,2023-09-01,23,199900,193000,2
https://www.viewpoint.ca/cutsheet/202529299/1/2070-Church-Street-Westville,01035005,202218175,3,2022-07-25,,2023-01-03,162,184999,,3
https://www.viewpoint.ca/cutsheet/202528548/1/2149-Cowan-Street-Westville,01031970,202528548,1,2025-11-24,,2025-11-25,135,179900,,5
https://www.viewpoint.ca/cutsheet/202528548/1/2149-Cowan-Street-Westville,01031970,202017879,1,2020-09-01,2020-09-25,2020-09-25,24,59900,60000,2
https://www.viewpoint.ca/cutsheet/202600746/1/2024-Angell-Street-Westville,65152712,202600746,1,2026-01-14,,2026-03-25,84,425000,,5
